frame_number static_density dynamic_density
1 0.0700997 0.0987319
4 0.0700997 0.0987319
7 0.0775018 0.123495
10 0.0775018 0.123495
13 0.0905154 0.0586298
16 0.0905154 0.0586298
19 0.097091 0.0731788
22 0.097091 0.0731788
25 0.102824 0.0773114
28 0.102824 0.0773114
31 0.110684 0.0835994
34 0.110684 0.0835994
37 0.113642 0.0796978
40 0.113642 0.0796978
43 0.116303 0.0857305
46 0.116303 0.0857305
49 0.118208 0.100215
52 0.118208 0.100215
55 0.12766 0.0954177
58 0.12766 0.0954177
61 0.135078 0.0240459
64 0.135078 0.0240459
67 0.126692 0.0411717
70 0.126692 0.0411717
73 0.123385 0.0160643
76 0.123385 0.0160643
79 0.129686 0.0328498
82 0.129686 0.0328498
85 0.148805 0.0511466
88 0.148805 0.0511466
91 0.173543 0.0906693
94 0.173543 0.0906693
97 0.185532 0.0973543
100 0.185532 0.0973543
103 0.184381 0.0981241
106 0.184381 0.0981241
109 0.180439 0.0952313
112 0.180439 0.0952313
115 0.192586 0.107726
118 0.192586 0.107726
121 0.197354 0.120991
124 0.197354 0.120991
127 0.199575 0.126007
130 0.199575 0.126007
133 0.20583 0.131768
136 0.20583 0.131768
139 0.214772 0.156961
142 0.214772 0.156961
145 0.218276 0.162159
148 0.218276 0.162159
151 0.215347 0.139438
154 0.215347 0.139438
157 0.208865 0.160076
160 0.208865 0.160076
163 0.204331 0.140313
166 0.204331 0.140313
169 0.201155 0.128527
172 0.201155 0.128527
175 0.198367 0.137294
178 0.198367 0.137294
181 0.197982 0.125748
184 0.197982 0.125748
187 0.196147 0.0956122
190 0.196147 0.0956122
193 0.195782 0.0829025
196 0.195782 0.0829025
199 0.196167 0.0442873
202 0.196167 0.0442873
205 0.196803 0.0216433
208 0.196803 0.0216433
211 0.196637 0.0251681
214 0.196637 0.0251681
217 0.195705 0.0333765
220 0.195705 0.0333765
223 0.197306 0.0498582
226 0.197306 0.0498582
229 0.196799 0.0321935
232 0.196799 0.0321935
235 0.198242 0.0197796
238 0.198242 0.0197796
241 0.195713 0.0290414
244 0.195713 0.0290414
247 0.195187 0.0246698
250 0.195187 0.0246698
253 0.194194 0.0169759
256 0.194194 0.0169759
259 0.194502 0.00944818
262 0.194502 0.00944818
265 0.194595 0.0305769
268 0.194595 0.0305769
271 0.192991 0.0478162
274 0.192991 0.0478162
277 0.19673 0.0205899
280 0.19673 0.0205899
283 0.207244 0.030427
286 0.207244 0.030427
289 0.212548 0.0359695
292 0.212548 0.0359695
295 0.207657 0.0315128
298 0.207657 0.0315128
301 0.199955 0.0451989
304 0.199955 0.0451989
307 0.197261 0.0298315
310 0.197261 0.0298315
313 0.196512 0.037975
316 0.196512 0.037975
319 0.195146 0.0422008
322 0.195146 0.0422008
325 0.195973 0.0833684
328 0.195973 0.0833684
331 0.196216 0.0640386
334 0.196216 0.0640386
337 0.196115 0.0216717
340 0.196115 0.0216717
343 0.199259 0.0188194
346 0.199259 0.0188194
349 0.202492 0.028227
352 0.202492 0.028227
355 0.200932 0.0292116
358 0.200932 0.0292116
361 0.200912 0.017608
364 0.200912 0.017608
367 0.199935 0.0195243
370 0.199935 0.0195243
373 0.19767 0.0176525
376 0.19767 0.0176525
379 0.196479 0.015331
382 0.196479 0.015331
385 0.201037 0.0189328
388 0.201037 0.0189328
391 0.2072 0.0450774
394 0.2072 0.0450774
397 0.212268 0.0628839
400 0.212268 0.0628839
403 0.214934 0.0587594
406 0.214934 0.0587594
409 0.231553 0.0695203
412 0.231553 0.0695203
415 0.254023 0.0848797
418 0.254023 0.0848797
421 0.271668 0.117069
424 0.271668 0.117069
427 0.296775 0.145831
430 0.296775 0.145831
433 0.316769 0.162337
436 0.316769 0.162337
439 0.331784 0.222061
442 0.331784 0.222061
445 0.338409 0.238579
448 0.338409 0.238579
451 0.351613 0.275804
454 0.351613 0.275804
457 0.361652 0.28883
460 0.361652 0.28883
463 0.367337 0.282931
466 0.367337 0.282931
469 0.367016 0.280812
472 0.367016 0.280812
475 0.370152 0.299408
478 0.370152 0.299408
481 0.369168 0.288275
484 0.369168 0.288275
487 0.371007 0.266024
