frame_number static_density dynamic_density
1 2.81547e-05 0.0203277
4 0.057323 0.0524804
7 0.145307 0.162397
10 0.134045 0.174475
13 0.0735683 0.176164
16 0.0261558 0.0924602
19 2.81547e-05 0.0123318
22 5.63095e-05 0.229517
25 0.0123881 0.0160764
28 0.0363478 0.0512416
31 0.045132 0.0703305
34 0.0410496 0.0760741
37 0.0228053 0.0557745
40 0.00335041 0.0313925
43 2.81547e-05 0.00909398
46 2.81547e-05 0.326257
49 2.81547e-05 0.267442
52 0.0123318 0.0208064
55 0.0508475 0.0725266
58 0.0848302 0.0925446
61 0.0990484 0.115829
64 0.0634326 0.0278732
67 0.0255363 0.0563939
70 0.00129512 0.0208908
73 2.81547e-05 0.0686976
76 2.81547e-05 0.0572667
79 0.0124725 0.0225238
82 0.0366856 0.0783828
85 0.0950786 0.157723
88 0.164846 0.203615
91 0.230531 0.256152
94 0.213638 0.288952
97 0.194887 0.206487
100 0.130131 0.14297
103 0.0605045 0.0519455
106 0.0172589 0.022918
109 0.0504533 0.0513261
112 0.104088 0.100512
115 0.146855 0.188496
118 0.148573 0.194268
121 0.113633 0.194718
124 0.0832817 0.149868
127 0.0583085 0.109437
130 0.0363478 0.0668112
133 0.00774255 0.02365
136 5.63095e-05 0.0306324
139 5.63095e-05 0.199054
142 5.63095e-05 0.103891
145 2.81547e-05 0.168281
148 2.81547e-05 0.159694
151 2.81547e-05 0.147756
154 2.81547e-05 0.0814798
157 2.81547e-05 0.155836
160 2.81547e-05 0.131961
163 2.81547e-05 0.146405
166 2.81547e-05 0.194042
169 2.81547e-05 0.120812
172 5.63095e-05 0.200039
175 2.81547e-05 0.223549
178 2.81547e-05 0.177572
181 2.81547e-05 0.141618
184 0 0.12343
187 2.81547e-05 0.120418
190 2.81547e-05 0.168225
193 2.81547e-05 0.272707
196 5.63095e-05 0.134777
199 2.81547e-05 0.159328
202 2.81547e-05 0.156906
205 2.81547e-05 0.205333
208 2.81547e-05 0.119827
211 2.81547e-05 0.229405
214 2.81547e-05 0.248015
217 2.81547e-05 0.192241
220 2.81547e-05 0.192804
223 2.81547e-05 0.131314
226 2.81547e-05 0.0830565
229 2.81547e-05 0.139479
232 2.81547e-05 0.147841
235 2.81547e-05 0.246298
238 2.81547e-05 0.279154
241 2.81547e-05 0.239315
244 2.81547e-05 0.257785
247 5.63095e-05 0.132187
250 5.63095e-05 0.18737
253 2.81547e-05 0.161777
256 2.81547e-05 0.18157
259 2.81547e-05 0.116448
262 2.81547e-05 0.227772
265 2.81547e-05 0.170899
268 2.81547e-05 0.100456
271 5.63095e-05 0.102117
274 5.63095e-05 0.222451
277 0.0292809 0.0438088
280 0.075877 0.0914184
283 0.119995 0.152599
286 0.151444 0.142463
289 0.127175 0.127513
292 0.0866603 0.0383468
295 0.0450476 0.0442874
298 0.00489892 0.0286897
301 0.0119658 0.0209753
304 0.0295062 0.0366856
307 0.0390225 0.0453854
310 0.0369672 0.0476378
313 0.0242975 0.0281829
316 0.0117405 0.0150909
319 0.00340672 0.0143308
322 8.44642e-05 0.139985
325 8.44642e-05 0.0504251
328 5.63095e-05 0.117574
331 2.81547e-05 0.111211
334 0 0.0992455
337 0 0.138944
340 0 0.274255
343 0.0196802 0.0384594
346 0.0399797 0.0702461
349 0.0477504 0.105102
352 0.0461456 0.097894
355 0.0290838 0.0768624
358 0.018385 0.0521144
361 0.00371643 0.0273664
364 2.81547e-05 0.0234811
367 2.81547e-05 0.208289
370 2.81547e-05 0.212794
373 2.81547e-05 0.149924
376 2.81547e-05 0.244327
379 2.81547e-05 0.163861
382 0.00619404 0.0137395
385 0.0344051 0.0735683
388 0.0520018 0.13182
391 0.0725266 0.191593
394 0.0620812 0.184611
397 0.0501999 0.135847
400 0.0335886 0.0859846
403 0.0143871 0.0404302
406 0.0483135 0.064953
409 0.108114 0.120362
412 0.157892 0.196605
