frame_number static_density dynamic_density
1 0.0700997 0.0987319
31 0.110684 0.16856
61 0.135078 0.137854
91 0.173543 0.10348
121 0.197354 0.175427
151 0.215347 0.226833
181 0.197982 0.150976
211 0.196637 0.0714448
241 0.195713 0.0514302
271 0.192991 0.049372
301 0.199955 0.0463577
331 0.196216 0.0657159
361 0.200912 0.0273519
391 0.2072 0.0563326
421 0.271668 0.113074
451 0.351613 0.219921
481 0.369168 0.296986
511 0.414987 0.332145
541 0.477761 0.155599
571 0.466842 0.155551
601 0.544166 0.0699579
631 0.615149 0.128065
661 0.623418 0.15201
691 0.629738 0.108666
721 0.642711 0.124836
751 0.653561 0.119354
781 0.662037 0.106227
811 0.653675 0.0444778
841 0.763317 0.0823434
871 0.777636 0.0537315
901 0.772429 0.04701
931 0.771899 0.0282919
961 0.776132 0.0381493
991 0.761425 0.0469168
1021 0.753189 0.0441172
1051 0.758156 0.0610972
1081 0.752212 0.0496961
1111 0.757674 0.0631027
1141 0.76525 0.0505956
1171 0.755737 0.0495462
1201 0.76935 0.0346406
1231 0.766846 0.0347905
1261 0.755077 0.0542055
1291 0.74902 0.0859979
1321 0.73272 0.0363868
1351 0.727437 0.050867
1381 0.731622 0.049761
1411 0.755336 0.0435297
1441 0.760242 0.277664
1471 0.798776 0.361296
1501 0.834957 0.605506
1531 0.822924 0.641289
1561 0.752123 0.659554
1591 0.759408 0.725845
1621 0.707499 0.606114
1651 0.706146 0.744745
1681 0.724483 0.67975
1711 0.69419 0.600993
1741 0.486152 0.541581
1771 0.375063 0.560019
1801 0.323138 0.400377
1831 0.262961 0.470736
1861 0.151754 0.377129
1891 0.272028 0.378264
1921 0.35767 0.487234
1951 0.188672 0.333761
1981 0.00737379 0.164468
2011 0.148023 0.125314
2041 0.279556 0.311652
2071 0.0625881 0.271262
2101 0.0270805 0.0884086
2131 0.325987 0.212552
2161 0.287355 0.266222
2191 0.0735354 0.192987
2221 0.00116279 0.0304189
2251 0.00290495 0.00953731
2281 0.0752289 0.113439
2311 0.0915931 0.158217
2341 0.0245158 0.157803
2371 0.0137307 0.119893
2401 0.0686614 0.0728871
2431 0.00369095 0.138368
2461 0.0584393 0.0472166
2491 0.013366 0.0551252
2521 0.0587635 0.0813994
2551 0.0743173 0.166376
2581 0.000542906 0.0993193
2611 0.000822462 0.093473
2641 0.0710275 0.0724658
2671 0.154744 0.246815
2701 0.0647922 0.252605
2731 0.0655214 0.110056
2761 0.102281 0.157836
2791 0.118977 0.203253
2821 0.124086 0.197217
2851 0.130998 0.0461024
2881 0.13016 0.0673325
2911 0.137979 0.104927
2941 0.148866 0.0899806
2971 0.295892 0.119314
3001 0.466737 0.241216
3031 0.663755 0.293619
3061 0.649984 0.451155
3091 0.681809 0.20329
3121 0.655692 0.197735
3151 0.663508 0.138891
3181 0.661247 0.0993193
3211 0.658399 0.109772
3241 0.653602 0.0812576
3271 0.653407 0.0621911
3301 0.671011 0.0374889
3331 0.661786 0.050316
3361 0.654489 0.05739
3391 0.65188 0.035532
3421 0.647853 0.0403898
3451 0.709128 0.0476987
3481 0.709197 0.0341382
3511 0.72247 0.0347865
3541 0.717223 0.077676
3571 0.709148 0.0294506
3601 0.7072 0.0206142
3631 0.702362 0.050628
3661 0.716842 0.0350134
3691 0.715651 0.0481728
3721 0.694056 0.0774897
3751 0.684819 0.0605218
3781 0.682578 0.130889
3811 0.699441 0.0655944
3841 0.797435 0.0656632
3871 0.793979 0.0474921
3901 0.792375 0.0822178
3931 0.790807 0.0573049
3961 0.793473 0.032072
3991 0.794352 0.0490317
4021 0.79573 0.0371688
4051 0.783158 0.0343651
4081 0.79389 0.0551981
4111 0.793262 0.0779434
4141 0.789474 0.308581
4171 0.794186 0.311855
4201 0.806616 0.431768
4231 0.833543 0.614326
4261 0.721113 0.391362
4291 0.75645 0.376068
4321 0.659331 0.543825
4351 0.616575 0.591625
4381 0.589762 0.740025
4411 0.459934 0.471481
4441 0.459294 0.667174
4471 0.496888 0.63285
4501 0.482254 0.616222
4531 0.766636 0.569383
4561 0.598695 0.658508
4591 0.471121 0.641674
4621 0.430038 0.413633
4651 0.446961 0.436391
4681 0.273864 0.446969
4711 0.313362 0.49731
4741 0.371011 0.459789
4771 0.149153 0.430472
4801 0.000299814 0.131371
4831 4.86184e-05 0.0936148
4861 0.00174621 0.0450207
4891 0.000506442 0.0301839
4921 0.0275545 0.0419172
4951 0.10707 0.116502
4981 0.0745564 0.195584
5011 0.0724658 0.177534
5041 0.0148853 0.139891
5071 0.208293 0.233069
5101 0.127518 0.24374
5131 0.00167734 0.114322
5161 0.000234989 0.024374
5191 4.45669e-05 0.0766024
5221 0.000133701 0.109193
5251 9.72369e-05 0.0708573
5281 0.0620898 0.0656308
5311 0.173049 0.252686
5341 0.182979 0.316814
5371 0.245653 0.17125
5401 0.296706 0.279256
5431 0.356896 0.329876
5461 0.407832 0.296163
5491 0.467057 0.221639
5521 0.552609 0.11884
5551 0.661717 0.189045
5581 0.691625 0.107455
5611 0.69987 0.203176
5641 0.714529 0.111057
5671 0.78445 0.0909327
5701 0.783932 0.0506239
5731 0.770327 0.0689247
