frame_number static_density dynamic_density
2461 0.055267 0.0959647
2464 0.0536221 0.0777166
2467 0.0399968 0.0725549
2470 0.0269022 0.0719917
2473 0.0187181 0.0455352
2476 0.0123248 0.0321651
2479 0.00968722 0.0232558
2482 0.00826513 0.018633
2485 0.0101045 0.0284863
2488 0.011324 0.0347338
2491 0.0124868 0.0336926
2494 0.0139818 0.0298315
2497 0.0146828 0.0507982
2500 0.0160724 0.0512195
2503 0.0164776 0.0319302
2506 0.0184021 0.0403898
2509 0.020521 0.0693785
2512 0.0349972 0.0685074
2515 0.0521271 0.0867353
2518 0.054485 0.119512
2521 0.0578519 0.132745
2524 0.0611417 0.138425
2527 0.0652783 0.124868
2530 0.0703549 0.124443
2533 0.0731748 0.140305
2536 0.0770399 0.197719
2539 0.0798801 0.191289
2542 0.0830808 0.209671
2545 0.082943 0.184329
2548 0.0859776 0.2104
2551 0.0784661 0.208666
2554 0.0718013 0.204675
2557 0.0582489 0.153185
2560 0.0416862 0.129126
2563 0.0275221 0.0801313
2566 0.0144518 0.0417916
2569 0.0030346 0.0204359
2572 0.000559112 0.00346001
2575 0.000494287 0.0187343
2578 0.000542906 0.049923
2581 0.000563163 0.0535897
2584 0.000514545 0.0312535
2587 0.000729276 0.0972652
2590 0.000623936 0.0358926
2593 0.000615833 0.071307
2596 0.000652297 0.0362045
2599 0.000587473 0.0759217
2602 0.000530751 0.0287983
2605 0.000522648 0.0637307
2608 0.000563163 0.0284823
2611 0.00060773 0.038129
2614 0.000737379 0.109416
2617 0.000672555 0.0538125
2620 0.00063204 0.0570213
2623 0.000676606 0.048347
2626 0.00578964 0.00587068
2629 0.0212746 0.0190989
2632 0.0302245 0.0428977
2635 0.0362491 0.0601613
2638 0.0426667 0.0718054
2641 0.0628677 0.0907868
2644 0.0844299 0.123685
2647 0.112722 0.176821
2650 0.133579 0.248201
2653 0.146354 0.278008
2656 0.154189 0.269938
2659 0.16632 0.303322
2662 0.178555 0.335216
2665 0.172198 0.362248
2668 0.163512 0.347334
2671 0.158002 0.272158
2674 0.155461 0.32388
2677 0.162714 0.323572
2680 0.1582 0.314055
2683 0.143116 0.29321
2686 0.136318 0.269816
2689 0.126104 0.270634
2692 0.113872 0.232526
2695 0.103472 0.195584
2698 0.0852565 0.169277
2701 0.0695162 0.121384
2704 0.0564703 0.0913743
2707 0.0436634 0.0661292
2710 0.0420509 0.0657078
2713 0.0421603 0.0657645
2716 0.0446317 0.0714974
2719 0.0455757 0.0648246
2722 0.0440523 0.0670772
2725 0.0448343 0.0660562
2728 0.0480391 0.0717203
2731 0.0598533 0.0677133
2734 0.0726562 0.0690017
2737 0.0783729 0.0703306
2740 0.0827445 0.0621749
2743 0.08616 0.0659833
2746 0.0877846 0.0649056
2749 0.0922778 0.0741066
2752 0.0955798 0.087339
2755 0.0975407 0.0839519
2758 0.100085 0.0957945
2761 0.10269 0.0986751
2764 0.103817 0.101037
2767 0.106681 0.0983794
2770 0.107783 0.113334
2773 0.108849 0.133004
2776 0.109732 0.139073
2779 0.110493 0.145997
2782 0.114051 0.146953
2785 0.116097 0.146346
2788 0.11715 0.155802
2791 0.118698 0.150944
2794 0.119326 0.148793
2797 0.118694 0.149242
2800 0.119938 0.137744
2803 0.12074 0.141297
2806 0.12106 0.12046
2809 0.122251 0.0922778
2812 0.120975 0.119565
2815 0.123118 0.0599344
2818 0.123693 0.0365408
2821 0.123523 0.0336561
2824 0.124759 0.036164
2827 0.123969 0.0320639
2830 0.12371 0.0303379
2833 0.123831 0.0259987
2836 0.124301 0.0213678
2839 0.124828 0.0778138
2842 0.125132 0.0287619
2845 0.123892 0.0298598
2848 0.1242 0.0375942
2851 0.127834 0.0245158
