method argument1 argument2 static_error dynamic_error runtime
0 0 0 0 0 300
1 2 0 0.00746264 0.0526974 170
1 3 0 0.0128076 0.0668927 118
1 4 0 0.0173086 0.0787929 103
1 5 0 0.02136 0.0820292 81
1 6 0 0.0271868 0.084773 76
1 7 0 0.0295947 0.0911608 71
1 8 0 0.0345959 0.0974428 71
1 9 0 0.0398184 0.10339 70
1 10 0 0.0416917 0.101696 64
2 1728 979 0.0581065 0.0229653 333
2 1536 870 0.0904935 0.0350097 277
2 1344 762 0.127784 0.0483547 235
2 1152 653 0.147663 0.0695984 195
2 960 544 0.146646 0.0969382 167
2 768 435 0.225168 0.107532 137
2 576 326 0.28472 0.154942 111
2 384 218 0.371496 0.203018 86
2 192 109 0.532251 0.332621 70
3 2 0 4.28455e-07 0.0411877 275
3 3 0 3.12813e-07 0.0547974 324
3 4 0 3.31794e-07 0.0693995 371
3 5 0 2.70796e-07 0.0763881 443
3 6 0 2.82931e-07 0.0818528 506
3 7 0 2.57715e-07 0.0984694 576
4 2 0 0.00444818 0.0264425 194
4 3 0 0.00424213 0.0312232 174
4 4 0 0.00468027 0.0342674 163
4 5 0 0.00503726 0.0341636 162
4 6 0 0.00520873 0.0431371 162
4 7 0 0.00520928 0.0409633 163
5 1 0 0 0.121669 200
